,Begin,End,Long Window,Market Returns,Short Window,Strategy Returns
0,2017-03-02 09:10:56,2017-03-30 10:10:56,52.0,2.372402786143984,14.0,0.0970756771789206
1,2018-07-08 03:23:51,2018-08-05 03:23:51,85.0,-0.014933719121077271,3.0,-0.001483618683155555
2,2017-03-11 00:54:02,2017-04-08 01:54:02,55.0,1.2283393758678514,12.0,0.08116329477716658
3,2015-05-23 06:42:13,2015-06-20 06:42:13,29.0,,15.0,0.0
4,2015-06-16 12:56:47,2015-07-14 12:56:47,68.0,,2.0,0.0
5,2015-12-06 09:19:41,2016-01-03 09:19:41,81.0,0.044660203071734954,4.0,-0.07693597104337857
6,2015-03-26 20:24:50,2015-04-23 20:24:50,61.0,,4.0,0.0
7,2014-10-08 16:47:11,2014-11-05 15:47:11,98.0,,15.0,0.0
8,2017-09-12 03:25:10,2017-10-10 03:25:10,11.0,-0.1437103673663513,10.0,-0.006277541482401943
9,2014-03-28 18:08:46,2014-04-25 18:08:46,33.0,,13.0,0.0
10,2014-01-21 16:41:29,2014-02-18 16:41:29,51.0,,13.0,0.0
11,2014-12-27 09:58:49,2015-01-24 09:58:49,19.0,,6.0,0.0
12,2016-12-26 23:05:37,2017-01-23 23:05:37,50.0,0.43506158425669694,1.0,-6.243489834082539e-05
13,2017-03-19 14:30:07,2017-04-16 14:30:07,89.0,0.016918861223854505,16.0,0.02990920211910975
14,2015-03-29 17:51:27,2015-04-26 17:51:27,80.0,,9.0,0.0
15,2016-05-01 09:47:21,2016-05-29 09:47:21,43.0,0.20997597251482436,17.0,0.026027644388364708
16,2014-02-07 09:41:33,2014-03-07 09:41:33,28.0,,8.0,0.0
17,2014-10-17 15:20:34,2014-11-14 14:20:34,37.0,,10.0,0.0
18,2016-12-06 23:34:51,2017-01-03 23:34:51,39.0,-0.02211845370624066,8.0,-0.010699628116415397
19,2018-04-03 08:57:38,2018-05-01 08:57:38,69.0,0.33783957459797265,7.0,0.0034845600282970963
20,2018-03-22 00:32:48,2018-04-19 00:32:48,68.0,0.03655108253969053,14.0,-0.0035371002208023582
21,2014-04-12 11:09:11,2014-05-10 11:09:11,44.0,,11.0,0.0
22,2018-01-09 12:36:02,2018-02-06 12:36:02,97.0,0.24723512032485628,4.0,-0.021988657171975207
23,2017-09-02 07:34:54,2017-09-30 07:34:54,77.0,-0.08696999551823417,6.0,-0.015425596101050928
24,2016-06-01 15:56:37,2016-06-29 15:56:37,18.0,-0.23218266648317062,11.0,0.0353595828739808
25,2016-04-03 19:05:31,2016-05-01 19:05:31,49.0,-0.29059240067136594,5.0,0.005217292350396975
